epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.67285,1.57484,4.37977,1.85725,0.00962,0.41689,0.01033,0.0031,1.47207,4.48172,1.95491,0.00022,0.00022,0.00022
2,9.36469,1.51046,3.57449,1.60711,0.01409,0.61035,0.11094,0.03003,1.45726,4.25553,1.76608,0.000455446,0.000455446,0.000455446
3,10.0518,1.51219,2.97757,1.58179,0.09376,0.10082,0.0459,0.01043,1.50561,4.00789,1.92072,0.00068614,0.00068614,0.00068614
4,10.7376,1.47214,2.84195,1.61749,0.12544,0.17166,0.07517,0.02135,1.51432,3.74168,1.92638,0.000912081,0.000912081,0.000912081
5,11.4176,1.45443,2.80577,1.62861,0.20439,0.0798,0.09397,0.0289,1.4056,3.62612,1.76081,0.00113327,0.00113327,0.00113327
6,12.0972,1.44759,2.78251,1.60964,0.28634,0.19891,0.14636,0.04429,1.43175,3.39436,1.81369,0.00134971,0.00134971,0.00134971
7,12.7917,1.43831,2.66199,1.56293,0.15421,0.28065,0.09978,0.03084,1.41311,3.315,1.83884,0.00156139,0.00156139,0.00156139
8,13.4688,1.44016,2.66576,1.57424,0.33634,0.2861,0.22852,0.07268,1.40809,3.11099,1.75552,0.00176833,0.00176833,0.00176833
9,14.1427,1.43378,2.65295,1.59519,0.35607,0.26431,0.2654,0.07998,1.42616,2.9773,1.75421,0.0018416,0.0018416,0.0018416
10,14.8202,1.40598,2.66166,1.57464,0.15723,0.28065,0.08482,0.02417,1.49813,3.5754,1.93163,0.00182179,0.00182179,0.00182179
11,15.4844,1.39575,2.59896,1.56698,0.15692,0.25068,0.09168,0.02858,1.46142,3.96836,1.83938,0.00180199,0.00180199,0.00180199
12,16.1435,1.38432,2.55018,1.58791,0.27616,0.28338,0.22918,0.07201,1.48306,3.0021,1.80598,0.00178219,0.00178219,0.00178219
13,16.804,1.4064,2.52345,1.53871,0.23113,0.27793,0.16411,0.04454,1.55708,3.33946,1.7873,0.00176239,0.00176239,0.00176239
14,17.4603,1.40849,2.58251,1.60978,0.19258,0.38147,0.15214,0.04602,1.44865,3.75963,1.79277,0.00174259,0.00174259,0.00174259
15,18.1224,1.38408,2.4972,1.58392,0.24244,0.33921,0.17298,0.04884,1.49353,3.48876,1.82597,0.00172279,0.00172279,0.00172279
16,18.7747,1.39763,2.44494,1.57337,0.35164,0.34332,0.28379,0.08759,1.45567,2.91923,1.7497,0.00170299,0.00170299,0.00170299
17,19.4311,1.38637,2.44157,1.56507,0.32468,0.3951,0.29294,0.09121,1.48981,2.79247,1.76536,0.00168319,0.00168319,0.00168319
18,20.0914,1.3731,2.47693,1.55579,0.34418,0.36608,0.27503,0.08446,1.45108,2.78494,1.74169,0.00166339,0.00166339,0.00166339
19,20.912,1.36011,2.45405,1.55094,0.39796,0.36785,0.27583,0.08467,1.45626,2.69195,1.75058,0.00164359,0.00164359,0.00164359
20,21.5593,1.36371,2.3956,1.54946,0.38008,0.34332,0.2939,0.09382,1.4495,2.7058,1.7382,0.00162379,0.00162379,0.00162379
21,22.2138,1.3516,2.40647,1.50184,0.32334,0.30989,0.23376,0.07291,1.5179,2.92686,1.92258,0.00160399,0.00160399,0.00160399
22,22.8774,1.36823,2.36336,1.53493,0.38857,0.39237,0.31396,0.0937,1.41142,3.1623,1.7197,0.00158419,0.00158419,0.00158419
23,23.5396,1.3625,2.3999,1.50691,0.3468,0.35422,0.304,0.09226,1.46418,3.17258,1.70218,0.00156439,0.00156439,0.00156439
24,24.1948,1.33891,2.3366,1.47251,0.4638,0.38692,0.36614,0.10852,1.44617,3.00797,1.72185,0.00154459,0.00154459,0.00154459
25,24.8484,1.31801,2.26569,1.48971,0.39253,0.36785,0.31877,0.09738,1.43456,2.8476,1.71028,0.00152479,0.00152479,0.00152479
26,25.4952,1.34676,2.32256,1.51254,0.34264,0.38147,0.29837,0.09778,1.42208,2.75402,1.68287,0.00150499,0.00150499,0.00150499
27,26.1418,1.32167,2.36797,1.5626,0.35372,0.34605,0.30986,0.10638,1.39948,2.68629,1.68345,0.00148518,0.00148518,0.00148518
28,26.7838,1.31448,2.33534,1.47728,0.37026,0.3297,0.27332,0.08527,1.4498,2.75944,1.76981,0.00146538,0.00146538,0.00146538
29,27.4342,1.34343,2.3344,1.51553,0.38119,0.36591,0.29716,0.09629,1.4118,2.74357,1.73583,0.00144558,0.00144558,0.00144558
30,28.0756,1.33706,2.28409,1.52228,0.34863,0.29973,0.25541,0.07813,1.4922,2.88633,1.81287,0.00142578,0.00142578,0.00142578
31,28.7194,1.34194,2.28854,1.49386,0.31158,0.3188,0.22788,0.06784,1.52859,2.8545,1.7491,0.00140598,0.00140598,0.00140598
32,29.3675,1.34849,2.31814,1.51556,0.43573,0.34877,0.32943,0.10248,1.43027,2.64068,1.65557,0.00138618,0.00138618,0.00138618
33,30.0133,1.2985,2.25682,1.47181,0.37012,0.35695,0.32022,0.099,1.43812,2.70326,1.6897,0.00136638,0.00136638,0.00136638
34,30.6667,1.31692,2.25968,1.48872,0.43197,0.3951,0.33543,0.10581,1.44694,2.58047,1.72947,0.00134658,0.00134658,0.00134658
35,31.3172,1.33582,2.2109,1.48919,0.35907,0.38965,0.31144,0.09677,1.42542,2.65632,1.71931,0.00132678,0.00132678,0.00132678
36,31.9614,1.31112,2.27065,1.48676,0.42306,0.42779,0.37449,0.12442,1.37942,2.55476,1.69076,0.00130698,0.00130698,0.00130698
37,32.62,1.30881,2.23319,1.46625,0.28558,0.3079,0.22791,0.0625,1.53223,3.32652,1.71375,0.00128718,0.00128718,0.00128718
38,33.2686,1.30539,2.20586,1.45094,0.41416,0.38718,0.34266,0.11352,1.4238,2.67583,1.66622,0.00126738,0.00126738,0.00126738
39,33.9192,1.30433,2.12352,1.46151,0.42432,0.36955,0.34055,0.11081,1.441,2.64909,1.67252,0.00124758,0.00124758,0.00124758
40,34.5676,1.29631,2.16725,1.41924,0.39049,0.46049,0.38453,0.13312,1.3968,2.51298,1.6596,0.00122778,0.00122778,0.00122778
41,35.2165,1.286,2.11088,1.45133,0.43031,0.41144,0.37315,0.13217,1.38396,2.54174,1.66695,0.00120798,0.00120798,0.00120798
42,35.8608,1.27178,2.10676,1.41327,0.44578,0.43176,0.37089,0.12507,1.3966,2.52747,1.68815,0.00118818,0.00118818,0.00118818
43,36.5051,1.30665,2.19656,1.51698,0.45879,0.41417,0.36331,0.10954,1.41395,2.61017,1.68822,0.00116837,0.00116837,0.00116837
44,37.1545,1.28947,2.08099,1.45193,0.40645,0.40327,0.33402,0.10539,1.43587,2.60454,1.67881,0.00114857,0.00114857,0.00114857
45,37.8045,1.28071,2.14057,1.46256,0.4101,0.35695,0.32011,0.10149,1.45506,2.67335,1.69092,0.00112877,0.00112877,0.00112877
46,38.451,1.27759,2.09,1.40737,0.42589,0.40327,0.34344,0.11148,1.40626,2.53758,1.70914,0.00110897,0.00110897,0.00110897
47,39.103,1.26773,2.06613,1.45207,0.37867,0.34605,0.30806,0.09645,1.45822,2.66011,1.82939,0.00108917,0.00108917,0.00108917
48,39.9051,1.29835,2.07174,1.45616,0.32095,0.26703,0.2154,0.07347,1.45773,2.95528,1.81974,0.00106937,0.00106937,0.00106937
49,40.5498,1.28779,2.04718,1.44461,0.34885,0.29428,0.26484,0.08801,1.45093,2.9683,1.80356,0.00104957,0.00104957,0.00104957
50,41.1975,1.25799,2.02783,1.41086,0.44334,0.33515,0.35741,0.12253,1.42753,2.6264,1.75367,0.00102977,0.00102977,0.00102977
51,41.8368,1.24922,2.02229,1.41685,0.35765,0.3733,0.29667,0.09978,1.43926,2.79508,1.76738,0.00100997,0.00100997,0.00100997
52,42.4783,1.2533,2.0509,1.42154,0.39315,0.41417,0.37532,0.12162,1.44449,2.46975,1.72941,0.000990169,0.000990169,0.000990169
