epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.58722,1.82838,3.46778,2.08767,0.01044,0.45232,0.01521,0.00787,1.61104,3.47276,2.03929,0.00022,0.00022,0.00022
2,9.19901,1.66126,2.95807,1.83759,0.01377,0.59673,0.03914,0.01103,1.56848,3.41038,2.00302,0.00044482,0.00044482,0.00044482
3,9.80177,1.69522,2.39395,1.77096,0.01503,0.65123,0.09075,0.02621,1.61926,3.10808,1.95261,0.0006538,0.0006538,0.0006538
4,10.4192,1.65621,2.23943,1.78289,0.01818,0.78747,0.13838,0.0396,1.72255,2.81897,1.87776,0.00084694,0.00084694,0.00084694
5,11.0597,1.61794,2.16753,1.77676,0.26555,0.16349,0.14656,0.03968,1.69758,2.70182,1.91154,0.00102424,0.00102424,0.00102424
6,11.6828,1.59669,2.12418,1.77435,0.39836,0.26158,0.23794,0.06429,1.66403,2.59068,1.93767,0.0011857,0.0011857,0.0011857
7,12.3041,1.59104,2.14279,1.76276,0.28329,0.2752,0.21082,0.06426,1.63225,2.63661,1.95306,0.00133132,0.00133132,0.00133132
8,12.9174,1.59712,2.08192,1.76381,0.24423,0.27793,0.18995,0.05784,1.6682,2.57103,1.9816,0.0014611,0.0014611,0.0014611
9,13.5338,1.57945,2.02302,1.75646,0.29365,0.33757,0.23887,0.06971,1.73238,2.55466,1.98,0.001472,0.001472,0.001472
10,14.1436,1.58781,2.04133,1.75414,0.32458,0.34877,0.23825,0.06422,1.73298,2.4702,1.94719,0.001406,0.001406,0.001406
11,14.7498,1.5599,2.03193,1.77832,0.31441,0.3297,0.23395,0.06755,1.65642,2.6637,1.97223,0.00134,0.00134,0.00134
12,15.3457,1.55131,1.93774,1.77489,0.3628,0.3951,0.3055,0.09173,1.60471,2.52016,1.97162,0.001274,0.001274,0.001274
13,15.9392,1.5483,1.93949,1.71579,0.34782,0.3297,0.24005,0.07416,1.63395,2.37148,1.91277,0.001208,0.001208,0.001208
14,16.5368,1.52424,1.93662,1.68238,0.34792,0.37072,0.30741,0.09412,1.66477,2.52495,1.90268,0.001142,0.001142,0.001142
15,17.1322,1.50997,1.89232,1.68369,0.42977,0.43052,0.35793,0.11334,1.61785,2.30637,1.88092,0.001076,0.001076,0.001076
16,17.7174,1.53345,1.90851,1.71285,0.35093,0.33243,0.25605,0.07782,1.69197,2.63299,1.89498,0.00101,0.00101,0.00101
17,18.3065,1.50613,1.93199,1.65703,0.41291,0.3733,0.33997,0.1047,1.62603,2.39772,1.85041,0.000944,0.000944,0.000944
18,18.9011,1.49653,1.85115,1.65155,0.37751,0.33515,0.27006,0.08424,1.67982,2.57625,1.90032,0.000878,0.000878,0.000878
19,19.4811,1.46493,1.82192,1.61715,0.39126,0.37057,0.28839,0.08921,1.60437,2.2321,1.90805,0.000812,0.000812,0.000812
20,20.0648,1.47451,1.88857,1.68006,0.36218,0.37875,0.31415,0.10288,1.59545,2.19035,1.82806,0.000746,0.000746,0.000746
21,20.9125,1.51154,2.03977,1.69168,0.28562,0.3188,0.24458,0.0801,1.57525,2.27964,1.91389,0.00068,0.00068,0.00068
22,21.4803,1.47869,2.0638,1.73379,0.33721,0.34877,0.31104,0.1097,1.54581,2.16134,1.81598,0.000614,0.000614,0.000614
23,22.0438,1.4511,1.96662,1.69312,0.4498,0.42234,0.38461,0.12885,1.5713,2.01125,1.7985,0.000548,0.000548,0.000548
24,22.6111,1.44709,1.85623,1.6826,0.45625,0.42234,0.37779,0.12915,1.56668,1.99158,1.83051,0.000482,0.000482,0.000482
25,23.181,1.45882,1.85223,1.67326,0.46855,0.42507,0.37097,0.1299,1.57394,1.98526,1.83451,0.000416,0.000416,0.000416
26,23.7465,1.45136,1.85185,1.67559,0.47238,0.44142,0.4024,0.14533,1.57971,1.9405,1.83071,0.00035,0.00035,0.00035
27,24.3149,1.43439,1.78873,1.63669,0.44187,0.42234,0.39246,0.14484,1.5719,1.94766,1.8265,0.000284,0.000284,0.000284
28,24.8857,1.4273,1.79677,1.62541,0.46487,0.41962,0.39874,0.14602,1.57064,1.95763,1.82271,0.000218,0.000218,0.000218
29,25.4603,1.4155,1.77265,1.62415,0.44826,0.42779,0.3988,0.14243,1.57341,1.96775,1.81963,0.000152,0.000152,0.000152
30,26.0277,1.40663,1.76624,1.64086,0.4622,0.42779,0.40072,0.14458,1.5592,1.94743,1.80172,8.6e-05,8.6e-05,8.6e-05
