epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.60111,2.2668,3.70039,2.07185,0.00906,0.39237,0.01037,0.00303,2.08687,3.78748,2.16996,0.00022,0.00022,0.00022
2,9.21036,2.05164,3.16867,1.81747,0.01642,0.71117,0.06702,0.01817,2.05483,3.54736,1.95434,0.00044482,0.00044482,0.00044482
3,9.81412,2.10514,2.56877,1.71814,0.22771,0.07902,0.09497,0.02803,2.12199,3.15901,1.81328,0.0006538,0.0006538,0.0006538
4,10.4377,2.06084,2.44156,1.79288,0.01654,0.71662,0.09696,0.02492,2.18368,3.0717,1.97077,0.00084694,0.00084694,0.00084694
5,11.0714,2.01003,2.3746,1.86747,0.30151,0.10899,0.14804,0.04503,2.00539,2.90572,1.93021,0.00102424,0.00102424,0.00102424
6,11.6879,2.01054,2.32766,1.83177,0.17175,0.19891,0.11111,0.0337,2.00447,2.96676,2.02119,0.0011857,0.0011857,0.0011857
7,12.3025,1.99029,2.32612,1.83806,0.20724,0.24523,0.15036,0.05102,1.9292,2.86579,1.97919,0.00133132,0.00133132,0.00133132
8,12.9072,1.98159,2.26757,1.7933,0.23813,0.27793,0.17768,0.04949,1.98514,2.79341,1.95991,0.0014611,0.0014611,0.0014611
9,13.5149,1.94168,2.20295,1.76452,0.30954,0.3079,0.23563,0.07089,2.00482,2.91686,2.03282,0.001472,0.001472,0.001472
10,14.1301,1.94886,2.21742,1.78015,0.31553,0.33243,0.25811,0.07643,1.99865,2.90585,2.03052,0.001406,0.001406,0.001406
11,14.7345,1.93217,2.20274,1.77033,0.21476,0.32153,0.18288,0.05716,1.98191,3.35586,2.05603,0.00134,0.00134,0.00134
12,15.3394,1.92283,2.11175,1.76883,0.34354,0.35695,0.25644,0.08169,1.97044,2.94009,2.0308,0.001274,0.001274,0.001274
13,15.9354,1.90309,2.08683,1.70369,0.38766,0.40599,0.32952,0.09761,1.96374,2.61133,1.90879,0.001208,0.001208,0.001208
14,16.5215,1.86236,2.06161,1.6867,0.39963,0.3842,0.3128,0.096,1.94218,2.45086,1.84023,0.001142,0.001142,0.001142
15,17.1034,1.85354,2.04752,1.68936,0.32504,0.3842,0.30651,0.10252,1.95425,2.49029,1.86441,0.001076,0.001076,0.001076
16,17.681,1.87541,2.03517,1.7073,0.38278,0.35695,0.3117,0.09933,1.99464,2.27894,1.92728,0.00101,0.00101,0.00101
17,18.262,1.85045,2.05574,1.68727,0.36998,0.40327,0.31978,0.10678,1.95189,2.25021,1.84618,0.000944,0.000944,0.000944
18,18.8481,1.86695,1.99855,1.6735,0.38821,0.38147,0.30374,0.09799,1.9856,2.3147,1.89632,0.000878,0.000878,0.000878
19,19.4285,1.83623,1.97432,1.64023,0.41323,0.38147,0.34249,0.11001,1.9671,2.33615,1.92184,0.000812,0.000812,0.000812
20,20.0126,1.84166,2.03946,1.70124,0.45003,0.40872,0.36731,0.1205,1.93572,2.27621,1.85244,0.000746,0.000746,0.000746
21,20.593,1.80438,1.98589,1.64869,0.36474,0.40327,0.31903,0.10195,1.96096,2.35045,1.79823,0.00068,0.00068,0.00068
22,21.1704,1.85108,1.98114,1.64955,0.4512,0.39237,0.35009,0.11559,1.91789,2.22572,1.83219,0.000614,0.000614,0.000614
23,21.7473,1.79639,1.92451,1.63498,0.40827,0.45232,0.38339,0.13055,1.93463,2.19669,1.82949,0.000548,0.000548,0.000548
24,22.6015,1.86378,2.13629,1.70266,0.46327,0.39782,0.36825,0.12305,1.92715,2.20693,1.85501,0.000482,0.000482,0.000482
25,23.1639,1.78028,2.06723,1.68474,0.42624,0.39237,0.357,0.12261,1.92719,2.2337,1.83916,0.000416,0.000416,0.000416
26,23.7237,1.74955,2.02737,1.645,0.44533,0.40909,0.37846,0.13621,1.90445,2.20846,1.81391,0.00035,0.00035,0.00035
27,24.2917,1.75577,1.978,1.65333,0.434,0.42507,0.37977,0.1336,1.90868,2.17441,1.83188,0.000284,0.000284,0.000284
28,24.8525,1.74772,1.96679,1.64194,0.4535,0.41144,0.38955,0.13478,1.91212,2.16116,1.82856,0.000218,0.000218,0.000218
29,25.4151,1.73933,1.93024,1.62572,0.47361,0.41676,0.40659,0.14114,1.91317,2.15352,1.83386,0.000152,0.000152,0.000152
30,25.98,1.72069,1.8998,1.61121,0.47677,0.43597,0.40618,0.14541,1.9073,2.137,1.8187,8.6e-05,8.6e-05,8.6e-05
