fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.14396,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.45,0.2,0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,10
0.13752,0.01,0.01001,0.937,0.0005,3.0,0.8,7.5,0.5,1.29123,0.015,0.7,0.5002,0.45,0.15137,0.47737,0.0,0.0,0.59182,0.5279,0.0,0.95999,0.0,0.0,0.0,10
0.14458,0.01,0.01,0.85043,0.0004,2.95401,0.6867,5.25213,0.5,1.5,0.015,0.7,0.4,0.44259,0.19764,0.47414,0.0,0.0,0.5,0.44152,0.0,1.0,0.0,0.0,0.0,10
0.1447,0.01,0.01,0.94584,0.00043,2.95759,0.72462,6.64807,0.5,1.5,0.01532,0.74773,0.4,0.37965,0.19864,0.49814,0.0,0.0,0.5,0.50419,0.0,1.0,0.0,0.0,0.0,10
0.14541,0.00855,0.01,0.80715,0.00051,3.00636,0.66688,6.49037,0.5356,1.5,0.01512,0.69965,0.4,0.44283,0.19904,0.47742,0.0,0.0,0.5,0.67205,0.0,1.0,0.0,0.0,0.0,7
0.15015,0.00895,0.01,0.74394,0.00045,3.31581,0.65383,3.62776,0.49953,1.5,0.01676,0.72226,0.3993,0.45266,0.19869,0.49113,0.0,0.0,0.5,0.46579,0.0,1.0,0.0,0.0,0.0,7
0.14864,0.01034,0.01,0.7874,0.00048,2.67926,0.65118,5.81512,0.54235,1.5,0.02402,0.9,0.4,0.43061,0.19719,0.47786,0.0,0.0,0.47185,0.42032,0.0,1.0,0.0,0.0,0.0,9
0.13618,0.01177,0.01,0.9317,0.00042,2.71793,0.95,4.34914,0.5359,1.5,0.01434,0.9,0.39964,0.40659,0.19799,0.82394,0.0,0.0,0.48013,0.43106,0.0,1.0,0.0,0.0,0.0,8
0.1435,0.01024,0.01,0.82368,0.00049,2.50536,0.72872,4.77096,0.53599,1.5,0.02087,0.81604,0.28389,0.40469,0.19717,0.50466,0.0,0.0,0.65638,0.68292,0.0,1.0,0.0,0.0,0.0,9
0.13897,0.00861,0.00886,0.9575,0.00047,3.15461,0.7065,3.0308,0.53783,1.23252,0.01422,0.79173,0.35269,0.45621,0.26726,0.50766,0.0,0.0,0.60755,0.71959,0.0,1.0,0.0,0.0,0.0,9
0.14067,0.01037,0.01,0.83758,0.0005,3.02172,0.95,4.10114,0.47436,1.5,0.02063,0.77108,0.42178,0.45349,0.19941,0.47946,0.0,0.0,0.5016,0.4577,0.0,1.0,0.0,0.0,0.0,10
0.14841,0.01188,0.01028,0.89504,0.00047,3.75814,0.81754,4.83582,0.54754,1.5,0.0176,0.58091,0.3997,0.45554,0.22104,0.47302,0.0,0.0,0.47737,0.7072,0.0,1.0,0.0,0.0,0.0,8
0.14935,0.01019,0.01,0.92819,0.00047,2.80738,0.70458,3.37238,0.52014,1.5,0.02068,0.68817,0.40609,0.4529,0.19883,0.49495,0.0,0.0,0.49448,0.45017,0.0,1.0,0.0,0.0,0.0,7
